"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"801-87-005-10-005101","Preci-Dip","1212-1184-ND","FTDI, SV2","","Bulk","Active","2","0.71000","$1.42","303","10 Weeks","CONN SOCKET 5POS 0.1 GOLD PCB","ROHS3 Compliant","Lead free","REACH Unaffected"
"SR215C103KAATR1","AVX Corporation","478-11035-1-ND","C3, C4","","Cut Tape (CT)","Active","2","0.25000","$0.50","1906","11 Weeks","CAP CER 10000PF 50V X7R RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"860020672001","Würth Elektronik","732-8847-3-ND","C5","","Tape & Box (TB)","Active","1","0.00000","$0.00","2000","24 Weeks","CAP ALUM 0.1UF 20% 50V RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERJ-L1WKF50MU","Panasonic Electronic Components","P50MCT-ND","RSENSE","","Cut Tape (CT)","Active","1","0.90000","$0.90","14584","12 Weeks","RES 0.05 OHM 1% 1W 2512","ROHS3 Compliant","Lead free","REACH Unaffected"
"08055G104ZAT2A","AVX Corporation","478-1421-1-ND","C9, C11","","Cut Tape (CT)","Active","2","0.15000","$0.30","59958","12 Weeks","CAP CER 0.1UF 50V Y5V 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"ECW-U2104V16","Panasonic Electronic Components","PCF1412CT-ND","C13","","Cut Tape (CT)","Active","1","1.79000","$1.79","2232","10 Weeks","CAP FILM 0.1UF 5% 250VDC 2420","ROHS3 Compliant","Lead free","Not Available"
"TPSD106K035R0300","AVX Corporation","478-1775-1-ND","C10","","Cut Tape (CT)","Active","1","1.51000","$1.51","4283","13 Weeks","CAP TANT 10UF 10% 35V 2917","ROHS3 Compliant","Lead free","REACH Unaffected"
"B82479A1104M000","TDK Electronics Inc.","495-2703-1-ND","L1","","Cut Tape (CT)","Not For New Designs","1","1.86000","$1.86","3156","Not Available","FIXED IND 100UH 1.8A 190 MOHM","ROHS3 Compliant","Lead free","REACH Unaffected"
"AC0805FR-0710KL","Yageo","311-10KLGCT-ND","R10, R11","","Cut Tape (CT)","Active","2","0.10000","$0.20","627230","33 Weeks","RES SMD 10K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"MBB02070C1002FRP00","Vishay BC Components","BC10.0KZCT-ND","R3, R4, R5, R6, R7, R8","","Cut Tape (CT)","Active","6","0.29000","$1.74","19345","14 Weeks","RES 10K OHM 0.6W 1% AXIAL","ROHS3 Compliant","Lead free","Not Available"
"TPSD107M020R0085","AVX Corporation","478-6066-1-ND","C14","","Cut Tape (CT)","Active","1","1.73000","$1.73","20636","13 Weeks","CAP TANT 100UF 20% 20V 2917","ROHS3 Compliant","Lead free","REACH Unaffected"
"ECE-A1HKA100I","Panasonic Electronic Components","P19476CT-ND","C1, C2","","Cut Tape (CT)","Active","2","0.22000","$0.44","6900","14 Weeks","CAP ALUM 10UF 20% 50V RADIAL","RoHS Compliant","Lead free","Not Available"
"ECS-160-20-4X-DU","ECS Inc.","XC1925-ND","Q1","","Bulk","Active","1","0.60000","$0.60","929","9 Weeks","CRYSTAL 16.0000MHZ 20PF T/H","ROHS3 Compliant","Lead free","Not Available"
"ERJ-1TYJ155U","Panasonic Electronic Components","PT1.5MXCT-ND","R9","","Cut Tape (CT)","Active","1","0.46000","$0.46","6504","12 Weeks","RES SMD 1.5M OHM 5% 1W 2512","ROHS3 Compliant","Lead free","REACH Unaffected"
"860020672005","Würth Elektronik","732-8851-1-ND","C8","","Cut Tape (CT)","Active","1","0.10000","$0.10","5098","24 Weeks","CAP ALUM 1UF 20% 50V RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"MBB02070C2201FCT00","Vishay BC Components","BC3668CT-ND","R1, R2","","Cut Tape (CT)","Active","2","0.29000","$0.58","5477","14 Weeks","RES 2.2K OHM 0.6W 1% AXIAL","ROHS3 Compliant","Lead free","Not Available"
"SR211A200JAR","AVX Corporation","478-11707-ND","C6, C7","","Bulk","Active","2","0.49000","$0.98","1058","11 Weeks","CAP CER 20PF 100V NP0 RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"801-87-002-10-001101","Preci-Dip","1212-1179-ND","X1","","Bulk","Active","1","0.26000","$0.26","13040","10 Weeks","CONN SOCKET 2POS 0.1 GOLD PCB","ROHS3 Compliant","Lead free","REACH Unaffected"
"C-002RX 32.7680K-E:PBFREE","EPSON","SER3205-ND","Y2","","Bulk","Active","1","0.54000","$0.54","18743","13 Weeks","CRYSTAL 32.7680KHZ 6PF T/H","ROHS3 Compliant","Lead free","Not Available"
"ATMEGA328P-PU","Microchip Technology","ATMEGA328P-PU-ND","U1","","Tube","Active","1","2.08000","$2.08","680","11 Weeks","IC MCU 8BIT 32KB FLASH 28DIP","ROHS3 Compliant","Lead free","REACH Unaffected"
"EEV-EB2E100Q","Panasonic Electronic Components","PCE3432CT-ND","C12","","Cut Tape (CT)","Active","1","2.04000","$2.04","3301","12 Weeks","CAP ALUM 10UF 20% 250V SMD","RoHS Compliant","Lead free","Not Available"
"3214W-1-502E","Bourns Inc.","3214W-502ECT-ND","VR1","","Cut Tape (CT)","Active","1","3.24000","$3.24","5132","12 Weeks","TRIMMER 5K OHM 0.25W J LEAD TOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"L7805CV","STMicroelectronics","497-1443-5-ND","IC3","","Tube","Active","1","0.50000","$0.50","29625","6 Weeks","IC REG LINEAR 5V 1.5A TO220AB","ROHS3 Compliant","Lead free","REACH Unaffected"
"A12AV","NKK Switches","360-3741-ND","S2","","Tray","Active","1","4.24000","$4.24","26","5 Weeks","SWITCH TOGGLE SPDT 0.4VA 28V","ROHS3 Compliant","Lead free","REACH Unaffected"
"PJ-102A","CUI Devices","CP-102A-ND","J1","","Tray","Active","1","0.64000","$0.64","76551","11 Weeks","CONN PWR JACK 2X5.5MM SOLDER","RoHS Compliant","Lead free","Not Available"
"DS1307+","Maxim Integrated","DS1307+-ND","IC1","","Tube","Active","1","4.07000","$4.07","70","6 Weeks","IC RTC CLK/CALENDAR I2C 8-DIP","ROHS3 Compliant","Lead free","REACH Unaffected"
"ES2F-E3/52T","Vishay Semiconductor Diodes Division","ES2F-E3/52TGICT-ND","D1","","Cut Tape (CT)","Active","1","0.49000","$0.49","2992","Not Available","DIODE GEN PURP 300V 2A DO214AA","ROHS3 Compliant","Lead free","REACH Unaffected"
"120591-1","TE Connectivity AMP Connectors","A99328-ND","U2","","Bulk","Active","1","2.45000","$2.45","2749","8 Weeks","BATTERY HOLDER COIN 20MM PC PIN","RoHS Compliant","Lead free","Not Available"
"IRF644PBF","Vishay Siliconix","IRF644PBF-ND","T1","","Tube","Active","1","1.45000","$1.45","909","8 Weeks","MOSFET N-CH 250V 14A TO-220AB","ROHS3 Compliant","Lead free","Not Available"
"MAX1771ESA+","Maxim Integrated","MAX1771ESA+-ND","IC2","","Tube","Active","1","5.14000","$5.14","662","6 Weeks","IC REG CTRLR BST/BUCK-BST 8SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"PEC09-2220F-S0012","Bourns Inc.","PEC09-2220F-S0012-ND","VR2","","Tray","Active","1","3.36000","$3.36","873","24 Weeks","ROTARY ENCODER MECHANICAL 12PPR","ROHS3 Compliant","Lead free","REACH Unaffected"